date,HH/MM/SS,latitude,longitude,depth,rms,mc,vp/vs
1/28/2015,8:46 PM,5.534,-82.59,5.4,0.1,3.9,1.73
1/28/2015,9:25 PM,8.279,-82.858,0.6,0.5,4.6,1.73
1/29/2015,1:01 PM,6.005,-82.134,15,0.4,4,1.78
1/30/2015,8:34 AM,4.99,-77.913,5.1,0.4,5.6,1.73
1/30/2015,6:24 PM,4.45,-82.595,5,0.3,4.1,1.71
1/30/2015,5:43 AM,4.588,-82.799,5.7,0.4,5.3,1.73
1/30/2015,12:20 PM,9.517,-82.914,0.1,0.9,3.5,1.73
1/31/2015,9:25 AM,5.011,-77.95,9.2,1,5.5,1.74
1/31/2015,10:06 PM,5.085,-76.506,0.1,0.4,5.2,1.74
1/31/2015,1:18 AM,4.984,-77.873,0.1,0.3,5.4,1.73
1/31/2015,6:57 PM,5.405,-82.568,11,0.5,5.3,1.73
1/31/2015,5:32 AM,6.008,-82.639,4.6,0.5,4.2,1.69
1/31/2015,9:47 PM,4.206,-82.675,10.5,0.3,4.9,1.73
1/31/2015,12:27 PM,5.272,-82.899,9.3,0.6,4.4,1.72
2/1/2015,12:02 AM,5.091,-82.87,3.8,0.5,5.2,1.73
2/1/2015,8:50 AM,5.041,-77.978,9.2,0.8,5.5,1.73
2/1/2015,1:35 PM,4.258,-82.398,8.2,1,4.1,1.71
2/1/2015,5:23 PM,5.057,-82.759,4.2,1,4.3,1.73
2/1/2015,12:03 PM,8.184,-83.063,7.2,0.6,4.7,1.73
2/1/2015,10:40 AM,8.888,-84.707,11.7,0.1,4.3,1.72
2/2/2015,6:31 PM,2.761,-79.67,8.6,0.7,5.4,1.72
2/2/2015,12:11 AM,5.345,-82.92,4.3,0.6,4.9,1.73
2/2/2015,8:53 AM,8.932,-83.4,11.9,0.1,3.4,1.73
2/2/2015,9:19 AM,7.746,-80.315,3.4,0.4,5.2,1.73
2/2/2015,1:27 PM,5.088,-82.859,5,0.5,4.9,1.74
2/2/2015,12:11 AM,5.319,-82.933,7.3,0.6,4.4,1.74
2/3/2015,6:32 PM,8.138,-79.875,5,1,5,1.73
2/3/2015,5:15 AM,4.654,-82.848,4.4,0.4,4.5,1.73
2/3/2015,10:13 AM,8.767,-85.008,0.1,0.2,4,1.74
2/4/2015,6:33 PM,5.072,-81.44,3.1,0.6,4.2,1.71
2/4/2015,1:27 AM,7.189,-80.38,0.4,0.6,4.6,1.72
2/4/2015,10:20 PM,2.373,-79.818,10.7,0.4,5.3,1.73
2/4/2015,6:42 AM,2.384,-80.128,10.4,0.7,5.2,1.72
2/4/2015,1:45 PM,5.188,-82.785,18.3,0.4,4.4,1.73
2/4/2015,3:35 AM,6.166,-82.947,3.7,0.4,4.5,1.73
2/4/2015,12:08 AM,4.957,-82.966,5,0.3,4.3,1.71
2/5/2015,2:11 AM,5.427,-82.249,8.3,0.6,4,1.71
2/5/2015,4:40 AM,5.288,-82.521,9.3,0.7,5.9,1.73
2/5/2015,11:28 PM,5.038,-82.793,4.1,0.7,4.3,1.74
2/5/2015,9:14 PM,5.548,-82.807,20.5,0.9,4.1,1.73
