id,survey_id,name,external_db,external_id,lat,lon,date,max_date,area,mean_slope,mean_thickness,mean_thickness_uncertainty,max_thickness,max_thickness_uncertainty,number_points,number_profiles,length_profiles,interpolation_method,flag,remarks
1,1,Isfallsglaciären,WGI,SE4B000E0006,67.915,18.568,1979-03-01,1979-03-31,1.3,,72,,220,,,,,,,
2,1,Rabots glaciär,WGI,SE4B000E1016,67.91,18.496,1979-03-01,1979-03-31,4.1,,84,,175,,,10,,,,
3,1,Storglaciären,WGI,SE4B000E0005,67.9,18.57,1979-03-01,1979-03-31,3.1,,99,,250,,,,,,,
4,2,South Cascade Glacier,WGI,US2M00264006,48.35698,-121.05735,1975-01-01,1975-12-31,2,,99,,195,,,,,,,
5,3,Athabasca Glacier,FOG,7,52.1754,-117.284,,,3.8,,150,,,,,,,,,
6,4,Dinwoody Glacier,,,43.17324,-109.63833,,,1.5,,55,,111,,,,,,,MAX_THICKNESS: Marston et al. 1991 (https://doi.org/10.1080/02723646.1991.10642421)
7,5,Whitney Glacier,FOG,192,41.41401,-122.21133,1981-01-01,1981-12-31,1.38,,20,,38,,,,,,,
8,6,Grinnell Glacier,FOG,217,48.75,-113.73,1981-01-01,1981-12-31,1,,64,,,,,,,,,
9,6,Maclure Glacier,,,37.74668,-119.28274,1981-01-01,1981-12-31,0.2,,17,,,,,,,,,
10,7,Carbon Glacier,WGI,US2M00541001,46.93,-121.78,1981-01-01,1981-12-31,7.9,,90,,215,,,,,,,
11,7,Coalman Glacier,,,45.37284,-121.69973,1981-01-01,1981-12-31,0.1,,14,,25,,,,,,,
12,7,Coe Glacier,,,45.3833,-121.6944,1981-01-01,1981-12-31,1.2,,43,,88,,,,,,,
13,7,Collier Glacier,,,44.1652,-121.7836,1981-01-01,1981-12-31,1.1,,19,,91,,,,,,,
14,7,Diller Glacier,,,44.1432,-121.7739,1981-01-01,1981-12-31,0.7,,20,,59,,,,,,,
15,5,Eliot Glacier,,,45.3808,-121.6803,1981-01-01,1981-12-31,1.7,,54,,110,,,,,,,
16,5,Emmons Glacier,WGI,US2M00531003,46.85,-121.72,1981-01-01,1981-12-31,11,,60,,185,,,,,,,
17,5,Hayden Glacier,,,44.1524,-121.7762,1981-01-01,1981-12-31,0.7,,26,,65,,,,,,,
18,5,Ladd Glacier,,,45.3916,-121.7048,1981-01-01,1981-12-31,0.9,,33,,76,,,,,,,
